Coin,Name
BTC,Bitcoin (BTC)
ETH,Ethereum (ETH)
USDT,Tether (USDT)
BNB,BNB (BNB)
USDC,USD Coin (USDC)
XRP,XRP (XRP)
BUSD,Binance USD (BUSD)
ADA,Cardano (ADA)
SOL,Solana (SOL)
DOGE,Dogecoin (DOGE)
DOT,Polkadot (DOT)
WBTC,Wrapped Bitcoin (WBTC)
TRX,TRON (TRX)
AVAX,Avalanche (AVAX)
DAI,Dai (DAI)
SHIB,Shiba Inu (SHIB)
MATIC,Polygon (MATIC)
LTC,Litecoin (LTC)
CRO,Cronos (CRO)
LEO,UNUS SED LEO (LEO)
NEAR,NEAR Protocol (NEAR)
UNI,Uniswap (UNI)
FTT,FTX Token (FTT)
BCH,Bitcoin Cash (BCH)
XMR,Monero (XMR)
XLM,Stellar (XLM)
LINK,Chainlink (LINK)
ETC,Ethereum Classic (ETC)
ATOM,Cosmos (ATOM)
FLOW,Flow (FLOW)
ALGO,Algorand (ALGO)
APE,ApeCoin (APE)
HBAR,Hedera (HBAR)
VET,VeChain (VET)
EGLD,Elrond (EGLD)
MANA,Decentraland (MANA)
XTZ,Tezos (XTZ)
ICP,Internet Computer (ICP)
FIL,Filecoin (FIL)
SAND,The Sandbox (SAND)
KCS,KuCoin Token (KCS)
AAVE,Aave (AAVE)
ZEC,Zcash (ZEC)
EOS,EOS (EOS)
KLAY,Klaytn (KLAY)
AXS,Axie Infinity (AXS)
THETA,Theta Network (THETA)
MKR,Maker (MKR)
TUSD,TrueUSD (TUSD)
HT,Huobi Token (HT)
GRT,The Graph (GRT)
BTT,BitTorrent-New (BTT)
FTM,Fantom (FTM)
BSV,Bitcoin SV (BSV)
RUNE,THORChain (RUNE)
UST,TerraUSD (UST)
USDP,Pax Dollar (USDP)
MIOTA,IOTA (MIOTA)
XEC,eCash (XEC)
HNT,Helium (HNT)
CAKE,PancakeSwap (CAKE)
NEO,Neo (NEO)
GMT,STEPN (GMT)
USDN,Neutrino USD (USDN)
LRC,Loopring (LRC)
QNT,Quant (QNT)
STX,Stacks (STX)
OKB,OKB (OKB)
NEXO,Nexo (NEXO)
CHZ,Chiliz (CHZ)
KSM,Kusama (KSM)
DASH,Dash (DASH)
CVX,Convex Finance (CVX)
ZIL,Zilliqa (ZIL)
PAXG,PAX Gold (PAXG)
CELO,Celo (CELO)
ENJ,Enjin Coin (ENJ)
WAVES,Waves (WAVES)
BAT,Basic Attention Token (BAT)
CRV,Curve DAO Token (CRV)
GALA,Gala (GALA)
ONE,Harmony (ONE)
AMP,Amp (AMP)
USDD,USDD (USDD)
GNO,Gnosis (GNO)
KAVA,Kava (KAVA)
MINA,Mina (MINA)
DCR,Decred (DCR)
XDC,XDC Network (XDC)
AR,Arweave (AR)
COMP,Compound (COMP)
XEM,NEM (XEM)
HOT,Holo (HOT)
GT,GateToken (GT)
QTUM,Qtum (QTUM)
KDA,Kadena (KDA)
FEI,Fei USD (FEI)
BTG,Bitcoin Gold (BTG)
1INCH,1inch Network (1INCH)
KNC,Kyber Network Crystal v2 (KNC)
BORA,BORA (BORA)
IOTX,IoTeX (IOTX)
ICX,ICON (ICX)
GLMR,Moonbeam (GLMR)
OMG,OMG Network (OMG)
ROSE,Oasis Network (ROSE)
ZRX,0x (ZRX)
AUDIO,Audius (AUDIO)
LDO,Lido DAO (LDO)
TFUEL,Theta Fuel (TFUEL)
BNT,Bancor (BNT)
XYM,Symbol (XYM)
